player_url;short_name;long_name;value_eur;club_name;league_name;club_position;club_jersey_number;club_loaned_from;club_joined;club_contract_valid_until;nationality_name;player_face_url;club_logo_url;club_flag_url;nation_logo_url;nation_flag_url
https://sofifa.com/player/188062/krystian-getinger/220002;K. Getinger;Krystian Getinger;600000.0;PGE FKS Stal Mielec;Polish T-Mobile Ekstraklasa;LM;23;;11.07.2013;2022;Poland;https://cdn.sofifa.net/players/188/062/22_120.png;https://cdn.sofifa.net/teams/114004/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/pl.png
https://sofifa.com/player/192671/mario-rondon/220002;M. Rondón;Mario Júnior Rondón Fernández;375000.0;Radomiak Radom;Polish T-Mobile Ekstraklasa;SUB;99;;05.07.2021;2023;Venezuela;https://cdn.sofifa.net/players/192/671/22_120.png;https://cdn.sofifa.net/teams/111088/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/ve.png
https://sofifa.com/player/193564/marcos-alvarez/220002;M. Álvarez;Marcos Álvarez;850000.0;Cracovia;Polish T-Mobile Ekstraklasa;ST;9;;20.07.2020;2023;Germany;https://cdn.sofifa.net/players/193/564/22_120.png;https://cdn.sofifa.net/teams/110747/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/de.png
https://sofifa.com/player/194003/andrzej-niewulis/220002;A. Niewulis;Andrzej Niewulis;550000.0;Raków Częstochowa;Polish T-Mobile Ekstraklasa;CB;6;;01.07.2017;2022;Poland;https://cdn.sofifa.net/players/194/003/22_120.png;https://cdn.sofifa.net/teams/114326/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/pl.png
https://sofifa.com/player/194059/michal-chrapek/220002;M. Chrapek;Michał Łukasz Chrapek;850000.0;Piast Gliwice;Polish T-Mobile Ekstraklasa;LDM;6;;10.10.2020;2022;Poland;https://cdn.sofifa.net/players/194/059/22_120.png;https://cdn.sofifa.net/teams/111086/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/pl.png
https://sofifa.com/player/199861/waldemar-sobota/220002;W. Sobota;Waldemar Sobota;425000.0;Śląsk Wrocław;Polish T-Mobile Ekstraklasa;SUB;5;;31.07.2020;2022;Poland;https://cdn.sofifa.net/players/199/861/22_120.png;https://cdn.sofifa.net/teams/111092/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/pl.png
https://sofifa.com/player/201035/michal-szromnik/220002;M. Szromnik;Michał Szromnik;675000.0;Śląsk Wrocław;Polish T-Mobile Ekstraklasa;GK;22;;01.08.2020;2024;Poland;https://cdn.sofifa.net/players/201/035/22_120.png;https://cdn.sofifa.net/teams/111092/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/pl.png
https://sofifa.com/player/201114/bartlomiej-pawlowski/220002;B. Pawłowski;Bartłomiej Pawłowski;850000.0;Śląsk Wrocław;Polish T-Mobile Ekstraklasa;RM;10;;10.09.2020;2023;Poland;https://cdn.sofifa.net/players/201/114/22_120.png;https://cdn.sofifa.net/teams/111092/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/pl.png
https://sofifa.com/player/202754/cornel-rapa/220002;C. Râpă;Cornel Emilian Râpă;625000.0;Cracovia;Polish T-Mobile Ekstraklasa;RB;2;;31.07.2018;2022;Romania;https://cdn.sofifa.net/players/202/754/22_120.png;https://cdn.sofifa.net/teams/110747/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/ro.png
https://sofifa.com/player/203558/rafal-pietrzak/220002;R. Pietrzak;Rafał Pietrzak;750000.0;Lechia Gdańsk;Polish T-Mobile Ekstraklasa;SUB;2;;20.02.2020;2023;Poland;https://cdn.sofifa.net/players/203/558/22_120.png;https://cdn.sofifa.net/teams/111091/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/pl.png
https://sofifa.com/player/206123/stefan-savic/220002;S. Savić;Stefan Savić;900000.0;Wisła Kraków;Polish T-Mobile Ekstraklasa;SUB;77;;06.08.2020;2022;Austria;https://cdn.sofifa.net/players/206/123/22_120.png;https://cdn.sofifa.net/teams/1873/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/at.png
https://sofifa.com/player/206297/sasa-balic/220002;S. Balić;Saša Balić;625000.0;Zagłębie Lubin;Polish T-Mobile Ekstraklasa;SUB;3;;27.07.2017;2022;Montenegro;https://cdn.sofifa.net/players/206/297/22_120.png;https://cdn.sofifa.net/teams/110749/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/me.png
https://sofifa.com/player/206402/matus-putnocky/220002;M. Putnocký;Matúš Putnocký;90000.0;Śląsk Wrocław;Polish T-Mobile Ekstraklasa;SUB;1;;01.07.2019;2022;Slovakia;https://cdn.sofifa.net/players/206/402/22_120.png;https://cdn.sofifa.net/teams/111092/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/sk.png
https://sofifa.com/player/207660/dominik-wydra/220002;D. Wydra;Dominik Wydra;800000.0;Raków Częstochowa;Polish T-Mobile Ekstraklasa;SUB;5;;24.07.2021;2022;Austria;https://cdn.sofifa.net/players/207/660/22_120.png;https://cdn.sofifa.net/teams/114326/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/at.png
